propertyName,zoneGuid,zoneName,rateHourly,rateDaily,rateEvening,rateFull,commuter,eveningsWeekends
114 Juno St. ,4F343E02-1045-48B6-A0AA-F8573476D681,114 Juno St. - Uncovered,1,5,2,1,1,1
1910 Pembina Hwy,8843D9F9-DD59-41F2-B9DC-577A532C74ED,1910 Pembina Highway - Guest Checkout,1,5,2,30,25,20
400 Tache Ave,16149241-9455-4A4C-A3F4-9033A1849C33,Blue Zone - PRE-BOOK,2,17.5,3,1,1,50
2350 McGillivray Blvd.,FC6518F6-3DE4-4271-9E29-2A32D7E38F5D,The Ridge Apartments - Visitor Parking,1,0,5,1,1,1
363 William Ave,50E386E9-68F3-45CF-9B11-928FBC178AFF,363 William Ave - Hourly/Daily,4,14,4,0,0,0
456 Langevin Street,B3F3A83E-F92D-426A-B6EC-DD0DD8F38E9C, 456 Langevin Street - Uncovered,1,5,2,0,0,0
311 Stradbrook Ave,AFD1A97C-4379-4369-99C4-4691D824B26D,311 Stradbrook Avenue - Uncovered,1,5,2,0,0,0
2300 Portage Ave.,BDA2AF19-F889-47DD-B4E8-6A6144FCA152,2300 Portage Avenue - Uncovered,1,5,2,20,15,10
244 Hindley Ave.,028E47B7-426E-4B26-9690-351A4466D4B6,244 Hindley Ave. - Uncovered Driveway,1,5,2,60,45,30
458 Balmoral St.,66D13A55-D536-4EF7-B0A9-27AEBD6B6D6C,458 Balmoral St. - Uncovered,1,5,2,140,110,80
1910 Pembina Hwy,282247AE-B6A4-43E2-A223-A73F7CE5B3E5,1910 Pembina Highway - Uncovered,1,5,2,30,25,20
590 University Crescent,2ED2EE13-F24E-4B44-9DCF-4544A78D4DC0,590 University Crescent - Game Day,6.5,5,9,1,65,1
80 Prevette St.,7E32FA03-CAC9-4F50-B7F0-28644AD661A0,80 Prevette Street - Guest Parking,1,0,0,0,0,0
707 Leila,42C411AA-1C46-416A-9E21-0E8F7E62695A,707 Leila Avenue - Guest Parking,1,0,0,0,0,0
340 Assiniboine Ave.,B4A10201-F7F7-4BB5-85AC-F3D0D35D18D2,340 Assiniboine Ave. - Uncovered,2,10,6,170,140,100
183 Maryland Street,2BE80982-1C54-4FAA-9AD8-F783C760A278,183 Maryland Street - Uncovered,1,5,2,50,35,35
1661 Portage Ave - Paid Daily + Monthly ,3BAD52EF-B425-4949-9875-3449B75451FE,1661 Portage Ave - Bioscript Bulk pay,3,0,0,1100,1,1
570 St. Mary's Rd.,BEB945E7-01A4-4F4E-AD91-27FA672E5748,570 St. Mary's Road - Uncovered,1,5,2,0,0,0
