address,postalCode,latitude,longitude,lowestMonthlyRate,coveredParking,busNearby,distanceFromCenter,usage,rangePointFive,rangeOnePointZero,rangeOnePointFive,rangeTwoPointZero,hourlyRate
325 Broadway,R3C 4T4,49.8876879,-97.1410704,210,1,0,0.842785062,0,50.56315366,50.5749824,50.37003302,50.96480704,4
363 Broadway,R3C 3N9,49.8872879,-97.143497,275,0,0,0.938514502,0,50.55776892,50.56197194,50.36648624,50.95563478,4
71 Donald Street,R3C 0R8,49.88702167,-97.13975436,200,0,0,0.900564993,1,50.49426651,50.53076923,50.35460993,50.93941624,4
374 Broadway,R3C 0T6,49.8866214,-97.1441612,60,0,0,1.025350702,1,50.50920486,50.48854962,50.35135285,50.92826594,4.5
64 Donald Street,R3C 1L6,49.886408,-97.1397,205,0,0,0.968092473,0,50.42818217,50.44717296,50.34535687,50.91259331,3
333 Broadway Avenue,R3C 4W3,49.884769,-97.1405648,182.8192105,0,1,1.156156985,1,50.3875969,50.41440627,50.35063876,50.89728904,2.5
43 Marion Street,R2H 0S8,49.8816476,-97.1268727,182.8192105,0,1,1.708191653,0,50.37783375,50.410608,50.32261563,50.88726514,2
130 Osborne Street,R3L 1Y5,49.87847692,-97.14492781,125,0,0,1.903274759,0,50.36807439,50.39903629,50.31613078,50.87711025,2
406 NOTRE DAME AVENUE,R3B 1R1,49.8978551,-97.1483707,99,0,1,0.774779717,0,50.46189376,50.42499254,50.32088993,50.88309504,4
329 Cumberland Avenue,R3B 1T2,49.896204,-97.1456465,220,0,0,0.530427819,0,50.51448171,50.43824114,50.32555185,50.88661512,4
365 Hargrave Street,R3B 2K2,49.8953477,-97.1456897,150,1,0,0.519383838,0,50.56646526,50.42542361,50.33011947,50.89007157,4
318 Notre Dame,R3B 1P5,49.8966883,-97.1447471,175,0,0,0.485272618,1,50.63480209,50.42403335,50.33459563,50.89578028,3
344 EDMONTON STREET,R3B 2L4,49.8943327,-97.1484933,142.86,0,0,0.724086775,0,50.69534582,50.43360819,50.34153356,50.8968812,4
315 Cumberland Avenue,R3B 1T2,49.8956401,-97.1445789,182.8192105,1,0,0.443385869,1,50.70525737,50.41786642,50.34837004,50.90015635,4
337 McDermot Avenue,R3A 0A3,49.89847413,-97.14434438,220,0,0,0.566467275,0,50.75276619,50.42758812,50.35003777,50.90562863,5
366 Smith Street,R3B 2H2,49.8964029,-97.1435806,165,0,0,0.395906922,1,50.76178527,50.42952374,50.35666184,50.90877162,4
330 Donald Street,R3B 2H7,49.89481711,-97.14435674,198,0,0,0.42401868,1,50.80573756,50.40738729,50.36070758,50.90964485,4
330 Smith Street,R3B 2H1,49.8952705,-97.1429158,90,1,0,0.320538562,1,50.81279497,50.39253842,50.36467766,50.91050315,3.5
351 SMITH STREET,R3B 1X6,49.8953543,-97.1429233,203.5,0,0,0.321833059,1,50.81995512,50.37803422,50.3685742,50.91134691,3
85 Princess Street,R3B 1K6,49.89771404,-97.14222175,182.8192105,0,1,0.398662464,1,50.89697591,50.38749507,50.37478378,50.91649695,3.5
35 King Street,R3B 1H4,49.8961785,-97.1420743,165,0,0,0.286985467,0,50.90325848,50.3637781,50.37851735,50.91727678,3
21 Arthur Street,R3B 1H1,49.8960303,-97.1419968,242,0,0,0.275217999,1,50.92577148,50.34376406,50.38218364,50.91804373,4
50 Arthur Street,R3B 1G7,49.8960415,-97.1420294,182.8192105,1,0,0.277852733,1,50.94775012,50.32418002,50.38578443,50.91879811,5
