propertyGuid,zoneGuid,propertyName,zoneName,address,postalCode,latitude,longitude,coveredParking,electricCharger,blockHeater,rating,reservationCount,reservedHours,spotCount
46132EF1-74ED-4DE9-8F57-DADD0CEC5D49,FA11B418-DF4E-460C-A52F-05A20D898E62,1777 St. Mary's Road,1777 St. Mary's Road - Lot Management,"1777 St Mary's Rd, Winnipeg, MB, Canada, Winnipeg",R2N 0L5,49.817324,-97.112425,FALSE,FALSE,FALSE,3.25,9,603,79
46132EF1-74ED-4DE9-8F57-DADD0CEC5D49,9D4CA52E-DA55-41B1-BE90-8CC78EC9F74D,1777 St. Mary's Road,1777 St. Mary's Road - Visitor Parking,"1777 St Mary's Rd, Winnipeg, MB, Canada, Winnipeg",R2N 0L5,49.817324,-97.112425,FALSE,TRUE,FALSE,3.25,71,1029,10
C59ADD5F-D2E6-4FBF-9F37-04D0F64A84AB,0E096A97-2EE7-4A3D-80BA-5AF71BCF987F,179 Langside Street,179 Langside Street - Uncovered,"179 Langside Street, Winnipeg, MB, Canada, Winnipeg",R3C 1Z6,49.88418,-97.156371,FALSE,FALSE,FALSE,5,1,242,2
0EDE0F26-36F2-4018-93FD-0E40D035A16E,178D7AFE-5F8B-47CE-A391-3B7BC4ED6142,1833 Pembina Highway,1833 Pembina Highway - Guest,"1833 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T 3X8,49.823337,-97.154146,TRUE,TRUE,FALSE,0,0,0,3
AA464245-387E-4887-A2AB-178845E265FA,8843D9F9-DD59-41F2-B9DC-577A532C74ED,1910 Pembina Hwy,1910 Pembina Highway - Guest Checkout,"1910 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T,49.822361,-97.150249,FALSE,FALSE,FALSE,4.17,0,0,1
AA464245-387E-4887-A2AB-178845E265FA,282247AE-B6A4-43E2-A223-A73F7CE5B3E5,1910 Pembina Hwy,1910 Pembina Highway - Uncovered,"1910 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T,49.822361,-97.150249,FALSE,FALSE,FALSE,4.17,1,713,3
65A20596-7D29-43D3-B868-F2713540C373,1A5558F0-C369-42F2-9B18-6BFD5C75BE5D,199 Langside St.,199 Langside Street - Uncovered,"199 Langside Street, Winnipeg, MB, Canada, Winnipeg",R3C 1Z6,49.884707,-97.156305,FALSE,TRUE,FALSE,0,6,43,1
5C06EA3F-624A-4388-865D-0F42B9D4A09F,F1A38E92-0329-4E9B-B6CE-4F288DF4432D,20 Lyndale Drive,20 Lyndale Drive - Uncovered | Hourly,"20 Lyndale Drive, Winnipeg, MB, Canada, Winnipeg",R2H 3H2,49.880883,-97.130631,FALSE,FALSE,FALSE,2.5,1,2,9
5C06EA3F-624A-4388-865D-0F42B9D4A09F,6BCB828A-2795-4E19-A0A2-1FE5EF633701,20 Lyndale Drive,20 Lyndale Drive - Uncovered | 24/7,"20 Lyndale Drive, Winnipeg, MB, Canada, Winnipeg",R2H 3H2,49.880883,-97.130631,FALSE,FALSE,FALSE,2.5,1,242,4
E35363AC-FC71-4EEC-A104-E04EABDE91B1,28634B9C-BCDD-461A-999C-EFA97425D336,200 Burning Glass Rd.,200 Burning Glass Rd. - Lot Management,"200 Burning Glass Rd, Winnipeg, MB, Canada, Winnipeg",R3X 0C4,49.837104,-97.048128,FALSE,FALSE,FALSE,0,0,0,438
E35363AC-FC71-4EEC-A104-E04EABDE91B1,CCF89CBC-6517-4A03-A5C1-FCAF1C02060E,200 Burning Glass Rd.,200 Burning Glass Rd. - Visitor Parking,"200 Burning Glass Rd, Winnipeg, MB, Canada, Winnipeg",R3X 0C4,49.837104,-97.048128,FALSE,FALSE,FALSE,0,0,0,64
52E6531F-D55A-40B9-94D0-F27E1655C0C0,EB79F0E4-D984-4F73-9B60-FA65D12C3F9F,201 Thomas Berry St. ,201 Thomas Berry St. - Uncovered,"201 Thomas Berry Street, Winnipeg, MB, Canada, Winnipeg",R2H 0P9,49.883528,-97.119489,FALSE,TRUE,FALSE,2.25,0,0,2
3894CE7E-83ED-4F0A-925D-6E77CA741780,5F9F63EF-236C-4DBD-AD6C-74E88C090064,203 Thomas Berry St. ,203 Thomas Berry St. - Uncovered,"203 Thomas Berry Street, Winnipeg, MB, Canada, Winnipeg",R2H 0P9,49.883571,-97.119354,FALSE,FALSE,FALSE,0,0,0,3
D1AD0212-EF71-4341-9DBE-89DD53CBF5F7,E01CAFB8-878E-46DE-85CF-11B9C65FF9CE,207 Carlton St. ,207 Carlton St. - Event Parking,"207 Carlton Street, Winnipeg, MB, Canada, Winnipeg",R3C 1P5,49.890452,-97.144332,FALSE,FALSE,FALSE,0,24,80,26
D1AD0212-EF71-4341-9DBE-89DD53CBF5F7,E83BD8C5-6F71-4D95-AF6C-F072E2EAC9A9,207 Carlton St. ,207 Carlton St. - Event Prebooking,"207 Carlton Street, Winnipeg, MB, Canada, Winnipeg",R3C 1P5,49.890452,-97.144332,FALSE,FALSE,FALSE,0,0,0,18
EA75CE0F-5354-4266-9ADE-6257CCA46CCA,E9BAA0EE-617F-486C-A97E-F9ACD9D1392A,207 Carlton St. - Monthly,207 Carlton St. - Secure Lot,"213 Carlton St, Winnipeg, MB, Canada, Winnipeg",R3C,49.890748,-97.144506,FALSE,FALSE,FALSE,3.7,83,4747,31
99739ADC-2385-4831-97B4-D04ACA59581A,E7BF9215-C036-413D-AA72-5E161F482864,210 Pacific Ave.,210 Pacific Ave - Park Mobile Scramble,"210 Pacific Avenue, Winnipeg, MB, Canada, Winnipeg",R3B 0M4,49.901234,-97.137543,FALSE,FALSE,FALSE,2,5,32,3
99739ADC-2385-4831-97B4-D04ACA59581A,BF94498E-EC33-42C4-BBEC-90C6FBE76EE6,210 Pacific Ave.,210 Pacific Ave - Evening/Weekend,"210 Pacific Avenue, Winnipeg, MB, Canada, Winnipeg",R3B 0M4,49.901234,-97.137543,FALSE,FALSE,FALSE,2,0,0,5
440C7C53-BAAD-484B-B9D1-0487A3C465A2,A3D1339E-7EF7-487B-A458-11152F32F6B2,210 Rue Masson,210 Rue Masson - Uncovered,"210 Rue Masson, Winnipeg, MB, Canada, Winnipeg",R2H 0H4,49.891195,-97.120443,FALSE,TRUE,FALSE,2.82,16,4523,24
DD7365AC-F517-4C4C-A7CF-B081D81E9116,91FAD031-1E56-4E41-A8A1-E83FFFD7EB0C,2211 McPhillips,2211 McPhillips - Uncovered,"2211 McPhillips Street, Winnipeg, MB, Canada, Winnipeg",R2V 3M5,49.950793,-97.148556,FALSE,FALSE,FALSE,0,2,13,2
F7730714-7EE5-4BF0-BAFC-0F5D2E020C1F,37DC449A-2F4B-4BD4-A408-FEA5A06DA4B7,225 Princess St. ,225 Princess St. - Uncovered,"225 Princess Street, Winnipeg, MB, Canada, Winnipeg",R3B 1L5,49.901664,-97.139308,FALSE,FALSE,FALSE,0,34,123,14
FA345B1D-FE95-462B-A739-8DBBB7B94565,32F058CA-DCF1-449E-AB23-FAD0AA84E259,226 Grassie Blvd.,226 Grassie Blvd. - Lot Management,"226 Grassie Boulevard, Winnipeg, MB, Canada, Winnipeg",R2G 2L6,49.922055,-97.052148,FALSE,FALSE,FALSE,0,0,0,11
8FE5AB0A-AE7F-4D2A-BA29-A5D8EC069BF5,0D568943-CEA9-4163-9776-FBFC6383B6B4,2295 Pembina Hwy.,2295 Pembina Hwy - Zone 1,"Markham Place, 2295 Pembina Hwy, Winnipeg, MB, Canada, Winnipeg",R3T 2H4,49.807998,-97.156284,TRUE,FALSE,FALSE,5,0,0,6
8FE5AB0A-AE7F-4D2A-BA29-A5D8EC069BF5,8485AE13-FEB0-4D74-B4F6-60DCE8421D50,2295 Pembina Hwy.,2295 Pembina Hwy - Uncovered,"Markham Place, 2295 Pembina Hwy, Winnipeg, MB, Canada, Winnipeg",R3T 2H4,49.807998,-97.156284,FALSE,FALSE,FALSE,5,1,20,36
2F133A1C-4447-4F54-9675-D3FFA6645794,3A8AE4A0-26A0-4F38-BAF0-54B4E1F0FC34,230 Osborne St,230 Osborne Street - Uncovered,"230 Osborne Street, Winnipeg, MB, Canada, Winnipeg",R3L 1Y8,49.875727,-97.140557,FALSE,FALSE,FALSE,0,4,62,2
01FB8DA8-DC7A-4ECB-8CCA-76AF07BE574D,FC6518F6-3DE4-4271-9E29-2A32D7E38F5D,2350 McGillivray Blvd.,The Ridge Apartments - Visitor Parking,"2350 McGillivray Boulevard, Winnipeg, MB, Canada, Winnipeg",R3Y 0A1,49.817478,-97.211204,FALSE,FALSE,FALSE,5,100,847,8
4E0D1DBC-66BB-4B3C-894E-08AACEE8AE76,C2FCF881-DDCB-4391-9425-21073E8EA5DB,24 Poulin Dr. ,24 Poulin Drive - Uncovered ,"24 Poulin Drive, Winnipeg, MB, Canada, Winnipeg",R2H 0S9,49.881218,-97.128794,FALSE,FALSE,FALSE,2.83,47,1671,5
62B9025C-A5F7-439E-80C0-53DE4F8A2A2A,45903DC1-C22E-4E4D-8502-C5ECA30AC164,246 Lilac St.,246 Lilac Street - Uncovered,"246 Lilac Street, Winnipeg, MB, Canada, Winnipeg",R3M 2S2,49.869665,-97.1575,FALSE,FALSE,FALSE,0,2,4,10
62B9025C-A5F7-439E-80C0-53DE4F8A2A2A,9D91FF50-0FC5-4385-BD48-678E29701E8E,246 Lilac St.,246 Lilac Street - Uncovered,"246 Lilac Street, Winnipeg, MB, Canada, Winnipeg",R3M 2S2,49.869665,-97.1575,FALSE,FALSE,FALSE,0,0,0,10
03218118-3295-40C8-B109-8AFB7446B0A1,EDD0F596-68A0-4203-B7E6-05C00F1C6CF3,250 Thomas Berry St.,250 Thomas Berry Street - Uncovered,"250 Thomas Berry Street, Winnipeg, MB, Canada, Winnipeg",R2H 0R3,49.883313,-97.116805,FALSE,TRUE,FALSE,0,0,0,4
6F3A432B-6306-40B4-B479-7DC60F807BA9,40E08255-DF2E-4F74-A92D-B82857E644DD,275 Stradbrook Ave,275 Stradbrook Avenue | Uncovered - Guest Checkout,"275 Stradbrook Avenue, Winnipeg, MB, Canada, Winnipeg",R3L 0J5,49.880209,-97.138301,FALSE,FALSE,FALSE,3.38,1,713,8
6F3A432B-6306-40B4-B479-7DC60F807BA9,9786E741-65EE-43E9-9A1C-938BD6083BD0,275 Stradbrook Ave,275 Stradbrook Avenue | Uncovered - Pre-booking,"275 Stradbrook Avenue, Winnipeg, MB, Canada, Winnipeg",R3L 0J5,49.880209,-97.138301,FALSE,FALSE,FALSE,3.38,0,0,1
4FC76AE0-40F0-4893-A9C3-770ED513B254,99A6BFCE-33C3-482A-84DD-CB4BFD0247DE,280 Garry St. ,280 Garry Street - Pre-book,"280 Garry St, Winnipeg, MB, Canada, Winnipeg",R3C 1H3,49.893412,-97.140858,FALSE,FALSE,FALSE,4.5,21,330,3
4FC76AE0-40F0-4893-A9C3-770ED513B254,677E53AA-0694-4548-9AC8-C7C4DB9EC9CE,280 Garry St. ,280 Garry St. - Scramble Parking,"280 Garry St, Winnipeg, MB, Canada, Winnipeg",R3C 1H3,49.893412,-97.140858,FALSE,FALSE,FALSE,4.5,1,7,3
